question,document
"How do I fix the Dockerfile when COPY fails for q5_predict.py, model1.bin, and dv.bin?",ced071dd97
"Is the COPY syntax in Docker sensitive to quote style, and can that break my build?",ced071dd97
Why does my Docker build fail with a Pipfile.lock mismatch even after I copied both the Pipfile and lock file into the image?,efae76d03c
What is the easiest way to make pipenv stop aborting during `pipenv install --system --deploy` inside a container?,efae76d03c
"I already ran `pipenv lock`, but Docker still says the lock file is out of date — what am I missing?",efae76d03c
How can I install Python dependencies in Docker with pipenv without it trying to re-read the Pipfile and failing the deploy step?,efae76d03c
"When building a ML app image, what pipenv command should I use so the container ignores the Pipfile and uses the lock file instead?",efae76d03c
"Why do I keep seeing ""Bind for 0.0.0.0:9696 failed: port is already allocated"" after rebuilding my Docker image, even though nothing seems to be using that port?",ed90e0f589
What can I do if Docker says the external connectivity failed on port 9696 and the container won't start because the port is supposedly taken?,ed90e0f589
"Has anyone fixed the ""port is already allocated"" problem on Windows when running a model service in Docker, even when the port looks free?",ed90e0f589
Is there a quick command to clear stuck Docker containers when I get a bind error on 9696 while deploying my machine learning app?,ed90e0f589
"Why does Docker sometimes think port 9696 is occupied after an image rebuild, and how do I make the error go away?",ed90e0f589
"Why do I get a requests ConnectionError with 'Connection aborted' when I try to hit my Flask app, even though the server seems to be running?",84301e35dd
My client throws RemoteDisconnected and the browser says the connection was closed without a response — could this be because I started the app with 127.0.0.1:5000?,84301e35dd
"In the deployment homework, what host and port should I bind to if my local setup on 127.0.0.1 keeps failing?",84301e35dd
Gunicorn shows an error but Waitress starts fine on the server side; why does the client still fail to connect to the model service?,84301e35dd
"What address should I use for the service so that requests work more reliably: localhost, 127.0.0.1, or 0.0.0.0 on ports like 8000 or 9696?",84301e35dd
How can I get md5sum working on macOS for this module?,f884543e2c
What command should I use to install md5sum on a Mac?,f884543e2c
Is there a Homebrew package that provides md5sum on macOS?,f884543e2c
"After installing md5sum on macOS, how do I check the hash of a file?",f884543e2c
What is the easiest way to compare md5 hashes for model files on a Mac?,f884543e2c
"If I already started a web server in one terminal, how do I run a Python script that sends a request to it?",de0726d5ea
Do I need to stop my server first before executing another script against it?,de0726d5ea
Can I keep the web server running and launch a separate client script from another command window?,de0726d5ea
What is the best way to test a local server with a Python request script while the server stays up?,de0726d5ea
How do I work with a running server and a second Python program at the same time?,de0726d5ea
Why do I get a warning about unpickling DictVectorizer from Scikit-Learn 1.1.1 while my environment is on 0.24.2 when I run gunicorn in Pipenv?,e8e58afd7b
How can I fix the compatibility issue when loading a saved model if the training environment used a different Scikit-Learn release than the one in my virtualenv?,e8e58afd7b
Is it necessary to use the exact same Scikit-Learn version for both training and serving the model in Module 5 deployment?,e8e58afd7b
What should I check if my pickled model or DictVectorizer raises a version mismatch warning during Flask app startup?,e8e58afd7b
"Could an older Scikit-Learn install cause invalid predictions when I unpickle a model trained with a newer version, and how do I avoid that?",e8e58afd7b
"Why am I getting a Pipenv ValidationError about python_version and python_full_version after installing packages, and how do I fix it?",8a8f00802a
"In my Pipfile, should I keep both python_version and python_full_version, or do I need to delete one of them?",8a8f00802a
What is the quickest way to resolve the error that says python_full_version must not be present with python_version in Pipenv?,8a8f00802a
"After editing the Pipfile to remove the version conflict, what command should I run to regenerate the lock file?",8a8f00802a
I ran pipenv install and got a Python version conflict in the Pipfile—what exact steps should I follow to get past it?,8a8f00802a
"Why do I get ""Pipfile.lock is out of date"" when I run docker build, and how can I fix it?",554fac782d
My Docker image fails with a Pipenv deploy error saying the lock file is out of sync — what should I do?,554fac782d
"During the build, Pipenv says my lock file has the wrong hash. Is deleting Pipfile.lock and running pipenv lock the right solution?",554fac782d
What is the easiest way to recover from an out-of-date Pipfile.lock error inside a Docker build?,554fac782d
"If pipenv install aborts in Docker because the lock file is stale, do I need to recreate the whole Pipenv environment?",554fac782d
Why can’t I see the Elastic Beanstalk environment I created locally in my AWS console?,03331f413e
"Could the missing AWS environment be caused by being in the wrong region, and how do I check that?",03331f413e
"I completed the environment setup, but it doesn't show up on AWS—what should I verify first?",03331f413e
"Is it possible my Elastic Beanstalk app is in another AWS region like eu-west-1, and not where I'm currently looking?",03331f413e
What should I do if my deployed environment seems to disappear from AWS after creating it locally?,03331f413e
Why does Git Bash on Windows say `waitress-serve: command not found` even after I installed waitress with pip?,f580e98fdc
How can I make `waitress-serve` available in Git Bash without typing the full path every time?,f580e98fdc
Where do I need to add the Python Scripts folder so Git Bash can find `waitress-serve.exe` after `pip install waitress`?,f580e98fdc
"Do I have to change `~/.bashrc` to use `waitress-serve` on Windows, and what line should I add there?",f580e98fdc
"If I’m using `uv`, do I still need to put `waitress-serve` on PATH, or can I run it another way?",f580e98fdc
Why am I seeing the warning that the LANG environment variable is not set when I install scikit-learn with Pipenv in the course conda setup?,8b15cafd96
"Is the LANG warning during Pipenv installation something I need to fix, or can I safely keep going with the ML Zoomcamp environment?",8b15cafd96
"What causes the bash profile language warning when using Pipenv in the ml-zoomcamp conda environment, and how serious is it?",8b15cafd96
How do I get rid of the message about LANG not being set while installing dependencies for Module 5?,8b15cafd96
Do I need to worry about the LANG variable warning if pipenv install works otherwise in this environment?,8b15cafd96
What terminal app is recommended for the Week 5 deployment videos in this course?,0e2b70a390
Where can I download the terminal used in the Module 5 videos on Windows?,0e2b70a390
Which terminal program should I install before following the Week 5 machine learning deployment lessons?,0e2b70a390
Is there a specific Windows terminal link for the Week 5 Zoomcamp tutorials?,0e2b70a390
What is the official Microsoft Store page for the terminal shown in the Week 5 videos?,0e2b70a390
"Why does waitress-serve give a ""Malformed application"" error when I run `q4-predict:app`?",748ffe7992
Is the dash in my Python filename the reason waitress cannot import the app?,748ffe7992
How should I rename `q4-predict.py` so Waitress can start the server correctly?,748ffe7992
What is the fix if `pipenv run waitress-serve --listen=localhost:9696 q4-predict:app` fails with a ValueError?,748ffe7992
"Can Waitress load an app from a file name with a hyphen, or do I need to change it to an underscore?",748ffe7992
How can I quickly test an HTTP POST endpoint from the command line without writing a script?,cde1c48afc
What is the easiest curl command to send JSON data to a local prediction API?,cde1c48afc
Can I pipe a JSON file or echo output directly into curl when making a POST request?,cde1c48afc
"How do I use curl with JSON input on Windows WSL2, and will it also work on Linux or macOS?",cde1c48afc
What would a full example look like for posting a JSON payload to http://localhost:9696/predict using curl?,cde1c48afc
How do I fix the NotSupportedError when I run `eb local run --port 9696` on Elastic Beanstalk?,5ba1e7ba64
"Why does `eb local` say it only works with preconfigured, generic, or multicontainer Docker platforms?",5ba1e7ba64
What should I change in `.elasticbeanstalk/config.yml` so local Elastic Beanstalk runs work with Docker?,5ba1e7ba64
Is there a way to reinitialize Elastic Beanstalk with the right Docker platform instead of editing config files by hand?,5ba1e7ba64
Which `eb init` platform option should I choose so `eb local run` starts without the NotSupportedError?,5ba1e7ba64
"Why do I get ""No connection adapters were found"" when I call localhost:9696/predict with requests?",4d94846cbe
What is missing from the URL if requests says it cannot find a connection adapter for localhost:9696/predict?,4d94846cbe
Do I need to add http:// before localhost:9696/predict when sending a request from Python?,4d94846cbe
Why does requests fail to connect if I use localhost:9696/predict instead of a full URL?,4d94846cbe
"Can the protocol in the URL be uppercase, or does requests require http:// in lowercase?",4d94846cbe
Why do I keep getting the same prediction every time when I run my Docker image?,cee7450404
What should I check if my model output doesn’t change between runs in Docker?,cee7450404
How can I make sure I’m using the right model version when testing predictions?,cee7450404
Could the Python/model download choice be causing identical results in my deployed app?,cee7450404
"When I run prediction tests in Docker, where do I need to update the model selection?",cee7450404
Why does my Docker container fail to start after I build the image for the ML Zoomcamp deployment assignment?,6d91bd8f56
What should I check if Docker says it can’t start the container process when I run my custom image?,6d91bd8f56
Do I need to install gunicorn inside pipenv before building the Docker image for serving the model?,6d91bd8f56
How should I set up my Pipfile and environment so the container runs correctly without startup errors?,6d91bd8f56
"Could the issue be that I built the image without entering pipenv shell first, and how do I fix it?",6d91bd8f56
How can I move a file from my laptop into an already running Docker container?,f5b6e3f04b
What command do I use to copy a folder from my local machine into a container?,f5b6e3f04b
Is there a way to transfer local files into a Docker container without rebuilding the image?,f5b6e3f04b
How do I specify the source path on my computer and the destination path inside the container when copying files?,f5b6e3f04b
What is the syntax for sending a local file or directory into a Docker container with Docker?,f5b6e3f04b
How can I bring a script and model file from my project folder into a Docker image during build time?,993a359b90
What is the correct Dockerfile syntax for copying multiple local files into the container's current directory?,993a359b90
"Is there a way to transfer files from my machine into a running Docker container, and what command should I use?",993a359b90
"If my prediction script and saved model live in different local folders, how do I copy them into the container work directory?",993a359b90
"When building a Docker image, how do I tell Docker to include specific files like a Python file and a binary model file?",993a359b90
"Why does `eb local run` fail with the error saying it only works with preconfigured, generic, or multicontainer Docker platforms, and how can I fix my Elastic Beanstalk setup?",9e5f381432
"In the deployment video, the command `eb init -p docker ...` doesn’t seem to create the right environment for my Dockerfile—what platform should I use instead?",9e5f381432
How can I get AWS Elastic Beanstalk to recognize my Dockerfile so that `eb local run --port 9696` actually starts the container?,9e5f381432
"I’m following the ML Zoomcamp deployment steps, but `eb init -p docker` leads to a NotSupportedError when I try local run—what is the correct initialization command?",9e5f381432
What change do I need to make in the Elastic Beanstalk initialization command if I want Docker build and run to work properly on Amazon Linux 2?,9e5f381432
"Why does AWS Elastic Beanstalk say both Dockerfile and Dockerrun.aws.json are missing when I run `eb create`, even though my app works locally?",01514d66d5
I got an error during Elastic Beanstalk deployment about missing container files. Do I need to commit the Dockerfile to Git before creating the environment?,01514d66d5
What should I do if `eb create my-env` fails with a message saying no Dockerfile or Dockerrun.aws.json is in the source bundle?,01514d66d5
"Is the fix for the Elastic Beanstalk deployment error just running `git add .` and `git commit`, or is there something else I need to check?",01514d66d5
"Why does Elastic Beanstalk deployment fail with a missing Dockerfile error after I create the environment, and how can I make it recognize my container setup?",01514d66d5
"Why does `eb create` fail with a message saying Git can’t find HEAD, and what does that usually mean for my project folder?",d66d501514
What should I do if Elastic Beanstalk complains that there are no commits yet when I try to launch an environment?,d66d501514
How can I fix the problem when the AWS EB CLI seems to need Git history but my repository is empty or not set up correctly?,d66d501514
"If my project is in a detached HEAD state, what steps should I take before running `eb create` again?",d66d501514
Do I need to run `git init` and make a first commit before using `eb init` and creating the Beanstalk environment?,d66d501514
Why won’t Elastic Beanstalk pick up my uncommitted Dockerfile edits when I run eb create?,57ec9fbb5d
How can I deploy my local changes to EB without making a git commit first?,57ec9fbb5d
Does eb create use the current working tree or only the last committed revision?,57ec9fbb5d
What should I do if the Docker image build fails during eb create but I still want to deploy?,57ec9fbb5d
Is there a way to send staged files to Elastic Beanstalk with eb deploy?,57ec9fbb5d
"Why does `eb create` fail with the Auto Scaling launch configuration error in my Elastic Beanstalk environment, and what should I use instead?",6ae0381ba8
How can I make Elastic Beanstalk create the environment without running into the launch configuration issue from AWS?,6ae0381ba8
Is there a way to fix the `eb create` problem by changing the environment setup so it uses launch templates automatically?,6ae0381ba8
"When I run `eb create`, should I enable Spot or choose specific wizard options to avoid the launch configuration error?",6ae0381ba8
What steps should I follow in the Elastic Beanstalk creation wizard if I want it to work despite the launch configuration not being available in my account?,6ae0381ba8
Why am I seeing an AWS error telling me to use launch templates instead of launch configurations for an Auto Scaling group?,a6755bdf4d
"Did AWS stop letting new accounts create launch configurations, and if so, when did that change happen?",a6755bdf4d
What is the reason AWS is moving from launch configurations to launch templates in EC2 Auto Scaling?,a6755bdf4d
"If my deployment setup used launch configurations before, what should I use now to create Auto Scaling configuration templates?",a6755bdf4d
"Is the launch configuration feature being phased out in AWS Elastic Beanstalk and Auto Scaling, and where can I read the official docs?",a6755bdf4d
"Why does Elastic Beanstalk fail with a VPC-related error after I run `eb create churn-prediction-env`, and how can I fix it?",cc8c2d4b32
"I created an AWS Elastic Beanstalk environment, but it later complains about missing VPC settings in my region. What should I check in the AWS Console?",cc8c2d4b32
How do I create a default VPC in AWS if Elastic Beanstalk deployment says there isn't one in the selected region?,cc8c2d4b32
What is the reason `eb create churn-prediction-env` can look successful at first and then break with a VPC configuration issue?,cc8c2d4b32
"If my AWS region has no VPCs, what steps should I take before trying the Elastic Beanstalk deployment again?",cc8c2d4b32
Why would I run my Flask app behind Gunicorn in Docker instead of using the built-in development server?,11f27e4673
What makes Gunicorn a better choice for production deployments than Flask’s default server?,11f27e4673
How do I start a Flask application with Gunicorn inside a Docker container?,11f27e4673
Will Gunicorn handle concurrent requests better than Flask’s dev server when I deploy a model API?,11f27e4673
What should the Docker CMD look like if I want Gunicorn to serve my Flask app on port 9696?,11f27e4673
"Why am I getting a warning that Python 3.12 can’t be found, and it says neither pyenv nor asdf is installed?",c8d2668615
How do I fix the version mismatch when my Pipfile expects Python 3.12 but my Docker container seems to use an older Python?,c8d2668615
Should I change my Docker base image if the container is running Python 3.8 while the project is configured for Python 3.12?,c8d2668615
What Dockerfile line should I use to make the environment match the Python version required by the project?,c8d2668615
"Is the warning caused by my local Python version, or is it because the container image and Pipfile are not using the same Python version?",c8d2668615
How can I make Pipenv use Python 3.11 instead of the default version?,a173b94288
What is the easiest way to install a specific Python release and then point Pipenv to it?,a173b94288
"If I already have Python 3.11 installed on my machine, how do I tell Pipenv to use that interpreter?",a173b94288
"Is it okay to run Pipenv from inside another virtual environment, or should I avoid that?",a173b94288
How do I find the exact path to the Python version I installed so I can pass it to Pipenv?,a173b94288
"Why is Pipenv locking so slowly on my laptop for Module 5, and what can I do instead?",a75f85c9da
"If I deleted the lock file and rebooted but Pipenv is still stuck, is there another place I can run the homework?",a75f85c9da
"Has anyone tried using GitHub Codespaces for Homework 5 in the deploying models module, and does it work well?",a75f85c9da
My local machine seems too slow for this assignment—would Codespaces be enough to finish the homework smoothly?,a75f85c9da
What is a practical workaround when Pipenv keeps hanging and my own computer is not handling the assignment well?,a75f85c9da
How can I turn a Jupyter notebook into a .py file from the command line?,9db5014252
Is there a built-in way in Jupyter to export my notebook as a Python script?,9db5014252
What command do I need to convert notebook.ipynb into a regular Python script?,9db5014252
"In Jupyter, where do I click if I want to download my notebook as executable Python code?",9db5014252
What’s the easiest way to save a notebook as a .py file instead of .ipynb?,9db5014252
Is there any difference between starting the app from the Python script versus launching gunicorn myself?,e842ae080e
"If I run gunicorn directly instead of using the Python file, will the server behave differently?",e842ae080e
"Does the way we start the server affect the result, or is it just a convenience thing?",e842ae080e
Why do some examples let the Python file create the server instead of calling gunicorn manually?,e842ae080e
"Should I prefer the script-based startup, or is it basically the same as using gunicorn directly?",e842ae080e
"Why am I getting a ""No module named ping"" error in my Python project, and how do I import it correctly?",1b08427cd4
"If Python says it can't find a module called ping, should I import ping from the file where it's defined instead?",1b08427cd4
"What does the error about missing ping mean, and what is the proper way to bring that function into my code?",1b08427cd4
How can I fix an import problem when a ping function exists in another file but Python reports the module is missing?,1b08427cd4
"When I see ""No module named ping,"" do I need to use a direct import like `from [file name] import ping`?",1b08427cd4
"Why am I getting ""exec: \""gunicorn\"": executable file not found in $PATH"" when I start my Docker container?",80a2e18431
What should I add to my Pipfile if Docker says it can't find gunicorn inside the container?,80a2e18431
Do I need to include flask as well as gunicorn in the project dependencies for the container to run?,80a2e18431
"After updating the Pipfile, what is the correct sequence to rebuild the image and run the container again?",80a2e18431
"Is running pipenv lock enough, or do I also need to rebuild the Docker image after fixing the missing gunicorn error?",80a2e18431
"Can I rely on a pre-trained model for my project and spend most of the effort on deployment, or do I need to train something too?",fca4671a69
"If I use an already trained model, what kind of training step do I still need to include to satisfy the project requirements?",fca4671a69
"Is it okay to focus on serving and deploying a model, as long as I also do a bit of fine-tuning or retraining?",fca4671a69
Will I be penalized if my project has no training from scratch and only uses an existing model?,fca4671a69
"Can a project based mainly on deployment still pass if the training part is minimal, as long as the other parts are solid?",fca4671a69
"How do I properly start a FastAPI server with uvicorn when my model is in a Python script, and what is the correct module:app format?",69e5f9cbf8
"Why does my FastAPI app fail to launch on localhost when I try to serve a pickle-based model, and how can I fix the startup command?",69e5f9cbf8
"What is the right way to run a FastAPI deployment on port 9696 for a local ML model, and how do I check whether the app object is defined correctly?",69e5f9cbf8
"I keep getting errors when starting my FastAPI service for a machine-learning model—what should I verify about imports, uvicorn syntax, and the port being used?",69e5f9cbf8
"How can I test whether my FastAPI endpoint is running after launching it with uvicorn, and what command should I use to avoid common deployment mistakes?",69e5f9cbf8
"Why do I get a warning about unpickling an estimator made with a different scikit-learn version, and can the model still work?",2d5c32331e
What should I install in my deployment environment to avoid sklearn pickle version mismatch errors?,2d5c32331e
My saved model fails or warns when loading in another environment — is this because the sklearn version changed?,2d5c32331e
"If I don’t know which scikit-learn version was used when the model was saved, what’s the safest fix?",2d5c32331e
How do I make sure a pickled machine learning model loads correctly across training and deployment?,2d5c32331e
"Why does pipenv keep failing with ""Failed to lock Pipfile.lock"" or saying a Python version was not found on my machine?",91b5235316
How can I fix a Pipfile that asks for Python 3.11 when I only have a different version installed?,91b5235316
"Do I need to install the exact Python version listed in the Pipfile, or can I change the project to use the version I already have?",91b5235316
What should I do if pipenv lock is hanging or taking forever to resolve dependencies?,91b5235316
Is there a way to reset a broken pipenv environment and start fresh if the install gets stuck?,91b5235316
"Why do I get `ModuleNotFoundError: No module named 'numpy._core'` only when I start my app with gunicorn or waitress, even though the model trained fine before?",fe5fb33959
How can I fix a sklearn model that was pickled in one environment and now crashes in another environment with a NumPy import error?,fe5fb33959
"Do I need to install the same NumPy version in my deployment environment as the one used during training, and what should I do if they don’t match?",fe5fb33959
"Is it better to upgrade NumPy to the version used for training, or should I downgrade to an older known-working version and save the model again?",fe5fb33959
"When I build a Docker image for model deployment, how do I make sure the NumPy version inside the container matches the one required by the serialized model?",fe5fb33959
Why does my Docker container say 'gunicorn: executable file not found in $PATH' when I try to run the app?,bbabf5b235
How can I make sure gunicorn gets installed inside the image before building the container?,bbabf5b235
"Should I add gunicorn to the Pipfile, and if so, where exactly does it go?",bbabf5b235
Do I need to regenerate the lock file after adding gunicorn for Docker to pick it up?,bbabf5b235
"If I'm using Windows, do I need a different server package instead of gunicorn in the image?",bbabf5b235
"Why does Docker complain that the image platform is linux/amd64 when I’m on an M1/M2/M3 Mac, and how can I make the container run anyway?",15daf894c7
"What is the easiest fix for an Apple Silicon Mac when a container starts with ""executable not found"" after building the image?",15daf894c7
Do I need to force amd64 for both docker build and docker run on a Mac with an arm64 chip?,15daf894c7
Can I set the platform in the Dockerfile so I don’t have to pass --platform every time on Apple Silicon?,15daf894c7
"If my Docker container still refuses to start on an M-series Mac even after using the platform flag, what alternative environment should I use?",15daf894c7
"Why does the Docker image size I see locally differ from the size shown on Docker Hub in the homework, and which one should I use?",7fd7378773
"My `docker images` output doesn't match any of the listed answers. Is this because of Docker version, OS, or CPU architecture differences?",7fd7378773
"In the Docker homework, should I compare the compressed download size on Docker Hub or the uncompressed image size on my machine?",7fd7378773
"If two multiple-choice options seem equally close for the Docker image size question, which option is the correct one to select?",7fd7378773
What should I do when the Docker image size in my setup is not exactly any of the homework choices?,7fd7378773
"Why does `eb create` fail with an Auto Scaling launch configuration error, and how can I make Elastic Beanstalk use launch templates instead?",f6dbc97ce3
Is there a quick way to fix the EB launch configuration deprecation issue without changing a lot of settings?,f6dbc97ce3
What should I do if Elastic Beanstalk tells me to use launch templates when creating an environment?,f6dbc97ce3
Do I need to enable spot instances to get `eb create` working again after AWS removed launch configurations?,f6dbc97ce3
"Can I avoid the launch configuration error in `eb create` by using the interactive wizard, and what option should I choose?",f6dbc97ce3
Why does `eb local` fail with NotSupportedError on the default Docker platform in recent EB CLI versions?,55c1151596
How can I change my Elastic Beanstalk project so `eb local` works again with Docker?,55c1151596
What should I put in `.elasticbeanstalk/config.yml` to make EB CLI treat the environment as a supported Docker platform?,55c1151596
"Which EB CLI version still supports `eb local`, and how do I install that older release with pipenv?",55c1151596
"If `eb local` is broken, can I just use `docker build` and `docker run` instead?",55c1151596
How can I make Elastic Beanstalk use my AWS profile instead of ignoring it after running eb init?,675f59049a
"Why does eb init keep picking the wrong AWS region, and how do I force the right one?",675f59049a
What is the correct way to specify both the profile and region when initializing an Elastic Beanstalk app?,675f59049a
My EB setup is using the default credentials and region; how do I explicitly set them during init?,675f59049a
How do I run eb init for a Docker app while choosing a specific profile and region?,675f59049a
Is it okay to build the project with FastAPI even though the course example uses Flask?,2aa1a84ee3
"Do I have to follow the Flask setup exactly, or can I choose FastAPI for my deployment project?",2aa1a84ee3
"If I use FastAPI instead of Flask for the model API, will that still be acceptable for the course project?",2aa1a84ee3
How should I explain it in my project notes if I picked FastAPI rather than the framework shown in the lessons?,2aa1a84ee3
Is FastAPI considered a valid choice for the deployment assignment in the 2025+ cohorts?,2aa1a84ee3
"Why do I get ConnectionRefusedError [Errno 61/111] when my test script tries to call my Flask `/predict` endpoint, and how do I check if the server is really running?",07c4486da9
My Flask app works in one terminal but `predict-test.py` says the connection was refused — could this be a port mismatch between `app.run(...)` and the test URL?,07c4486da9
"Should I use `localhost` or `127.0.0.1` in my client when Flask refuses the connection, and does that matter for local testing?",07c4486da9
How can I tell on Windows whether port 9696 is already used or blocked when my Flask server won’t accept requests from `predict-test.py`?,07c4486da9
"What is the easiest way to debug a refused connection to Flask before blaming my Python code, for example by testing the endpoint with `curl` first?",07c4486da9
"In Module 5, should I do the old Pipenv + Flask lessons or the new uv + FastAPI workshop?",29ada2d598
Which deployment setup is the official one for the current cohort in Module 5?,29ada2d598
Does the homework in Module 5 follow the Flask version or the uv/FastAPI version?,29ada2d598
Why are the Pipenv and Flask deployment lectures still included if there's a newer workshop?,29ada2d598
"If I'm starting Module 5 now, which folder or path should I use for the deployment workshop?",29ada2d598
Why does my project end up with the package in uv.lock but still show an empty dependencies list in pyproject.toml after I run uv add?,65cbd9be62
What is the right way to make pyproject.toml and uv.lock match again after adding a dependency with uv?,65cbd9be62
"Do I need to edit pyproject.toml by hand if uv.lock already contains the package, or is there a better fix?",65cbd9be62
"Could the problem be that I ran uv add from the wrong folder, and how can I check that I'm in the directory with pyproject.toml?",65cbd9be62
"After using uv add, should I run uv sync to update my project files, and when would rerunning uv add help instead?",65cbd9be62
"Why do I get `ModuleNotFoundError: No module named 'sklearn'` when I run my homework Docker container, even though I installed packages with uv?",0767b0bd38
How should I write the Dockerfile so the dependencies are available in the container at runtime for Module 5 homework?,0767b0bd38
"Do I need to copy `pipeline_v2.bin` into the image, or is it already included in the base Docker image for this assignment?",0767b0bd38
"What is the correct working directory inside the `agrigorev/zoomcamp-model:2025` image, and why does that matter for `uv sync`?",0767b0bd38
My model loader cannot find `pipeline_v2.bin` in the container — what path should I use instead of copying the file?,0767b0bd38
How can I get my Docker API onto Render's free plan without setting up a bunch of extra stuff?,aa92a4f1b1
"What is the easiest way to deploy an image-based FastAPI app on Render, and what do I need to enter there?",aa92a4f1b1
"When using Render for a Dockerized ML app, how should I handle the port so the service actually starts?",aa92a4f1b1
Why does my Render app take so long to answer the first time after being unused for a while?,aa92a4f1b1
"Is Docker Hub enough to count as deploying my project, or do I still need to run it on a real hosting service like Render?",aa92a4f1b1
"Why does `docker pull svizor/zoomcamp-model` fail with a manifest not found error, and what tag should I use instead?",a5ee2dc890
"When I run `docker pull` for the Zoomcamp model image, Docker says `latest` does not exist — how do I pull the correct version?",a5ee2dc890
How can I download `svizor/zoomcamp-model` without getting the `manifest unknown` message from Docker?,a5ee2dc890
"Is there a specific tag for the Zoomcamp model image, since pulling it without one seems to break?",a5ee2dc890
What should I do if `docker pull svizor/zoomcamp-model` tries to use `latest` and the image isn’t available?,a5ee2dc890
"Why do I get ""failed to compute cache key"" saying /model2.bin was not found when building my Docker image for the homework?",32c95df124
"In the ML Zoomcamp homework, do I actually need a separate model2.bin file, or can I reuse the original model1.bin somehow?",32c95df124
How can I fix the Dockerfile COPY line if it complains that model2.bin does not exist on Windows Git Bash?,32c95df124
Is there a way to copy all the files into the image at once instead of listing model2.bin and dv.bin one by one?,32c95df124
"Why does using COPY [""*"", ""./""] work for me when COPY [""model2.bin"", ""dv.bin"", ""./""] fails in my Docker build?",32c95df124
"For homework question 6, which saved model and vectorizer am I supposed to use from the provided Docker image?",3ab0a03ad2
"In the Module 5 homework, do I need to load model2.bin and dv.bin for Q6, or should I use something else?",3ab0a03ad2
Which files inside the svizor/zoomcamp-model:3.10.12-slim image contain the model and DictVectorizer for the sixth question?,3ab0a03ad2
Can someone confirm the correct model file and DictVectorizer for homework Q6 in the Machine Learning Zoomcamp?,3ab0a03ad2
"For Q6, is the expected setup to use model2.bin together with dv.bin from the given image?",3ab0a03ad2
"Do I need to change my code for the new homework pipeline, and if so what file should I load now?",0b60cbb594
The instructions mention a new pipeline file in Docker — should I stop using the old one in my script?,0b60cbb594
How can I update my code so it reads the correct pipeline for this assignment?,0b60cbb594
"For the module 5 homework, is there a code change needed to switch from the previous pipeline version to the new one?",0b60cbb594
What’s the right way to open the updated pipeline file in Python for this homework?,0b60cbb594
How can I run the homework Docker image on an M1 Mac if I’m not using Docker Desktop and switched to lima instead?,fa4068ee43
What do I need to do in lima so Docker uses the right running instance and context for the course model image?,fa4068ee43
Is there a simple way to make the container work on Apple Silicon without rebuilding everything differently?,fa4068ee43
Which base image should I use for Module 5 when building my Docker image for the model service?,fa4068ee43
What exact docker run option do I need to avoid architecture issues on M1 and expose port 9696?,fa4068ee43
Why does XGBoost complain that feature names need to be strings when I pass the output of `dv.get_feature_names_out()` into `DMatrix`?,091cf6f73e
What should I change in my code if `xgb.DMatrix` throws a TypeError about feature names being a NumPy array?,091cf6f73e
"In the recent XGBoost versions, how do I pass the names from `dv.get_feature_names_out()` so training works without that feature-name error?",091cf6f73e
Is there a simple fix for the `Expecting a sequence of strings for feature names` error when creating an XGBoost DMatrix?,091cf6f73e
"Do I need to convert the feature names from `dv.get_feature_names_out()` before using them in `xgb.DMatrix`, and if so, what is the correct way?",091cf6f73e
"How can I stop Pandas from turning the text value ""None"" into missing data when I load a CSV file?",dc86b83814
"What is the best way to read a CSV in Pandas so that ""None"" stays a normal string instead of becoming NaN?",dc86b83814
"When importing a CSV with Pandas, how do I control which values are treated as missing without converting ""None"" automatically?",dc86b83814
"Is there a Pandas `read_csv` option that lets me keep ""None"" as text while still marking empty strings and ""null"" as NaN?",dc86b83814
"Why does Pandas interpret ""None"" as missing in a CSV, and how can I disable that behavior while defining my own NaN values?",dc86b83814
"Why is %%capture output not working in Google Colab for my ML Zoomcamp homework, and what can I use instead?",c6f2a2afe5
How do I redirect stdout in a notebook so I can save XGBoost training logs to a variable?,c6f2a2afe5
What small change should I make in Alexey’s XGBoost output parser if I already have the text as a string?,c6f2a2afe5
"In Colab, how can I capture the printed output from xgb.train and then pass it to the parser function?",c6f2a2afe5
My XGBoost eval output is showing in the notebook but not being parsed correctly—what workaround fixes this in Google Colab?,c6f2a2afe5
How can I get the train and validation scores from XGBoost without parsing the console output?,7ec4b76943
Is there a built-in way to save XGBoost evaluation results while training?,7ec4b76943
How do I collect AUC values for both training and validation sets in XGBoost?,7ec4b76943
Can XGBoost write the metric history into a dictionary during fitting?,7ec4b76943
What is the easiest way to plot training and validation metrics from XGBoost?,7ec4b76943
How do I use random forest for a regression task in scikit-learn?,049c4cee4e
Which scikit-learn class should I pick for predicting continuous values with a random forest?,049c4cee4e
"Is there a regression version of RandomForestClassifier in sklearn, and what is it called?",049c4cee4e
What estimator should I instantiate if I want a random forest model for numeric target prediction?,049c4cee4e
How can I apply random forest to solve a regression problem instead of a classification one?,049c4cee4e
"Why do I get `ValueError: feature_names must be string, and may not contain [, ] or <` when I build a DMatrix for training and validation?",b78f247dc5
What is causing the DMatrix feature-name error in XGBoost when some columns have characters like `=` or `<` in their names?,b78f247dc5
"How can I rename feature names so that XGBoost stops complaining about `[, ] or <` in the column names?",b78f247dc5
Is there a simple way to clean `dv.feature_names_` before passing it into `DMatrix`?,b78f247dc5
