question,answer,answer_orig,document
How much money do I need to add to start using the OpenAI API?,You can start with **$5** minimum.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Is it expensive to use the OpenAI API for a beginner?,"No — for the course, using the OpenAI API should cost very little. You can start by recharging with as little as $5, and initial usage is usually fractions of a cent. If you prefer, you can also use free or low-cost alternatives instead.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What is the minimum recharge amount for OpenAI API usage?,The minimum recharge amount is **$5**.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Around how much might initial usage of the OpenAI API cost?,"Initial usage of the OpenAI API is usually **fractions of one cent**. You can add funds starting from **$5**, but the course says early usage should cost very little.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I need to spend a lot of money to try the OpenAI API?,"No — for the course, using the OpenAI API should cost very little. You can add as little as $5, and the initial usage is usually just fractions of a cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
How can I keep an API key in a .env file and read it in Python without hardcoding it?,"Store the key in a `.env` file and load it with `python-dotenv`.

1. Add `.env` to `.gitignore`:
```gitignore
.env
```

2. Create a `.env` file:
```bash
OPENAI_API_KEY=sk-...
```

3. Install `python-dotenv`:
```bash
pip install python-dotenv
```

4. Read it in Python:
```python
import os
from dotenv import load_dotenv

load_dotenv()

api_key = os.getenv(""OPENAI_API_KEY"")
```

This keeps the key out of your code and prevents it from being committed.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What modules do I need to import to load environment variables from a .env file?,"You need to import:

```python
import os
from dotenv import load_dotenv
```

Then call:

```python
load_dotenv()
```

and read variables with `os.getenv(...)`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
How do I make Python load a specific .env file from a given path?,"Use `python-dotenv` and pass the file path to `load_dotenv()`:

```python
from dotenv import load_dotenv

load_dotenv(""/path/to/your/.env"")
```

Then access the variables as usual:

```python
import os
api_key = os.getenv(""OPENAI_API_KEY"")
```

If needed, make sure `python-dotenv` is installed:

```bash
pip install python-dotenv
```","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"After loading the .env file, how do I get the value of API_KEY_abc in my code?","Use `os.getenv(""API_KEY_abc"")`:

```python
import os
from dotenv import load_dotenv

load_dotenv()

api_key = os.getenv(""API_KEY_abc"")
```

If you want, I can also show how to set it in your `.env` file.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Why should I include the .env file in .gitignore when storing API keys?,"Because `.gitignore` prevents Git from tracking the `.env` file, so your API keys won’t be accidentally committed and pushed to GitHub.

In practice, this keeps your credentials private while still letting your code load them locally with `python-dotenv`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
"Why does my notebook say the OpenAI API key is missing, and what should I check first?","First, check that you loaded your `.env` file in the notebook with `python-dotenv`:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure the variable name in `.env` is exactly `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How can I load my key from a .envrc file when Jupyter doesn’t see OPENAI_API_KEY?,"If Jupyter doesn’t see `OPENAI_API_KEY`, load your `.envrc`/env file in the notebook with `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure the variable name is exactly `OPENAI_API_KEY`.

If you want it loaded automatically when entering the project directory, the course suggests using `dirdotenv` (or `direnv` if you already use it).","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What should I do if I get an OpenAIError saying the api_key must be set?,I don't know.,"Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
How do I make my API key available in a GitHub Codespaces session?,"For GitHub Codespaces, use the built-in **Codespaces secrets** instead of putting the API key in a file in the repo.

The context says to use:
- **GitHub Codespaces secrets**: https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces

It also says not to store keys in `.env` or `.envrc` in the repo for Codespaces.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What are the steps to use a secret in Codespaces so the notebook can access my OpenAI key?,"To use a secret in Codespaces so your notebook can access your OpenAI key:

1. Put the key in your `.env` file, for example:
   ```bash
   OPENAI_API_KEY=your_key_here
   ```

2. In Codespaces, make sure the notebook loads environment variables from `.env`:
   ```python
   from dotenv import load_dotenv
   load_dotenv()
   ```

3. Read the key from the environment in your notebook:
   ```python
   import os
   api_key = os.getenv(""OPENAI_API_KEY"")
   ```

4. Use that value when creating the client.

If you meant a Codespaces secret specifically, the context only explains secret handling for Kestra, not Codespaces secrets. I don't know.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Can I use Groq or another LLM provider instead of OpenAI for the experiments and the project?,"Yes. You can use Groq or another LLM provider instead of OpenAI.

The course allows other providers such as Groq, OpenRouter, Gemini, Azure OpenAI, local models, and more. If the provider is OpenAI-compatible, you usually only need to change the `base_url`, API key, and model name.

For the project, you’re also not restricted to OpenAI. Kestra and the course examples can work with any supported provider, including Groq and local models like Ollama.

If you want, I can also tell you the simplest setup for Groq specifically.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Is the homework built so that I can finish it without paying for any external API service?,"Yes — the homework is designed so you do not need a paid external API service. You may need to adapt the code if you use a different provider, but it should work without paying for one.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
"If I switch from OpenAI to a different LLM platform, what changes do I need to make in the code?","If you switch from OpenAI to another LLM platform, usually you only need to change:

- `base_url`
- API key
- model name

The course code uses the OpenAI client, so if the new provider is OpenAI-compatible, that’s often enough. If you use a local model or another provider, you may also need to adapt the code for differences in:

- response formats
- tool schemas
- tokenizers

If the provider exposes an OpenAI-compatible endpoint, the code should work with minimal changes.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Will I be able to complete this module locally without access to a paid service?,"Yes. You can run the course locally instead of using Codespaces, and you do not need to pay for OpenAI API in order to complete the homework. You can use free or low-cost alternatives listed in the course GitHub repo.

If you want, I can also help you set up a local environment.","Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
Where should I look for guidance when adapting the project to a different LLM platform?,I don't know.,"Yes. The recommended model is not mandatory. You can use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, local models, or another provider.

The homework is designed so you do not need a paid service. You may need to adapt the code for your provider, because response formats, tool schemas, and tokenizers differ.

For provider ideas, see the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md).",ee43413718
How can I estimate the GPT-4o token count for homework question 6 when using Groq and there is no tokenizer library available?,"For Groq, **first check the response object for usage fields** and use those token counts if available. The context says to adapt to the provider’s response object and **not** to use `tiktoken` or `cl100k_base` as a generic tokenizer for Groq.

If Groq does **not** expose token usage, then **use Groq’s native tokenizer as an approximation**. Since this is a multiple-choice homework question, **pick the closest option**.

I don't know.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Do I need an OpenAI API key in order to use tiktoken and count the tokens for the homework prompt?,"No. You don’t need an OpenAI API key just to use `tiktoken` and count tokens.

However, for the Module 1 homework, the recommended approach is to get the token count from the model’s response object, because tokenization can differ by provider. If you use a non-OpenAI provider, check its usage fields instead.","For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
"Which model’s token count is the homework question asking for, GPT-4o or Groq’s model?",I don't know.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
What Python tool can I use to check how many tokens the provided code uses?,You can use `tiktoken` — specifically `tiktoken.encode()` — to check how many tokens the code uses.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
"If I follow the code in the assignment, can I get the token number without access to OpenAI’s API?",I don't know.,"For the current Module 1 homework, get the token count from the model response object.

For example, OpenAI-compatible clients usually return usage information on the response, such as `response.usage.input_tokens` or `response.usage.prompt_tokens`, depending on the API style.

If you use a non-OpenAI provider, check the provider's response object for its usage fields and adapt the code. Do not use `tiktoken` or `cl100k_base` as a generic tokenizer for Gemini, Mistral, Hugging Face, Groq, or other providers because tokenization differs by model.

If your provider does not expose token usage, use that provider's native tokenizer as an approximation. For multiple-choice homework questions, choose the closest option.",fe8fed31e6
Do I need to subscribe to and pay for the OpenAI API to finish the course homework?,No. You don’t have to subscribe to or pay for the OpenAI API to complete the course homework. You can use free or low-cost alternatives from the course repo.,"No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"If I don’t want to pay for OpenAI, are there free alternatives I can use for the assignments?","Yes — you don’t have to pay for OpenAI to do the assignments. The course provides free or low-cost alternatives in the GitHub repo, including OpenAI-compatible providers and local model options.

Examples include:
- Groq
- OpenRouter
- DeepSeek
- Gemini
- Z.ai
- Mistral
- Hugging Face-hosted models
- Local models via Ollama, vLLM, or LM Studio

You can also use any other LLM provider, as long as you adapt the code if needed. See the course repo’s list of OpenAI API alternatives:
https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find the list of free OpenAI alternatives mentioned for this course?,"You can find the list here in the course GitHub repo:

[OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives)

It’s also referenced in the course’s [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) page.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Is using the paid OpenAI API required anywhere in Module 1, or can I complete it without paying?","No — paid OpenAI API is **not required** for Module 1. You can complete the homework without paying by using free or low-cost alternatives, or even a local model.

The course explicitly says:
- you **don’t have to subscribe and pay** for OpenAI API to finish the Module 1 homework
- you can use **other LLM providers** instead of OpenAI
- you can also use **local/OpenAI-compatible models** like Ollama or vLLM

So yes, you can complete Module 1 **without paying OpenAI**.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Can I rely on the alternatives in the course GitHub instead of setting up a paid OpenAI account?,"Yes — you can rely on the alternatives listed in the course GitHub instead of setting up a paid OpenAI account.

The course says you **do not have to pay for OpenAI** to complete the homeworks, and you can use **free or low-cost alternatives** from the repo. It also says you can use **other providers** like Gemini, Groq, OpenRouter, Azure OpenAI, or even **local models**.

So a paid OpenAI account is **not required**.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
"Why do I get an empty list after filtering my query in HW Q3, and could the issue be with how I indexed the data?","Yes — the issue could be with how you indexed the data.

For HW Q3, an empty list after filtering is likely caused by an indexing error. The key point is to **add the index settings before adding the data to the indices**. Once the data is indexed correctly, your filters and query should work properly.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
What should I check first if my filtered query returns nothing for the homework question about Q3?,First check whether you added the **index settings before indexing the data**. The empty result is likely caused by an indexing error.,"This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Do I need to define index settings before inserting the data into the index for this assignment?,"Yes — according to the homework guidance, you should **add/define the index settings before adding the data to the index**.

The context says this is likely the correct order when indexing the data, especially if you’re getting empty results after filtering.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
"I can run the query, but the filter gives no results — what part of the indexing setup might I have missed?","You likely missed adding the **index settings before indexing the data**.

From the homework note: this kind of empty result after filtering is usually caused by an indexing setup issue — specifically, the index settings need to be created first, and only then should you add the documents. After that, the filters and query should work.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
"For the homework on returning an empty list after filtering, what is the correct order for creating the index settings and adding the data?","First, add the index settings, and only after that add the data to the indices.","This is likely to be an error when indexing the data. First, you need to add the index settings before adding the data to the indices, then you will be good to go applying your filters and query.",83da208a64
Why can `tiktoken.encode()` give me a smaller token count than OpenAI’s API for the same chat prompt?,"Because `tiktoken.encode()` only counts the tokens in the text you pass it, while OpenAI’s API also counts extra hidden chat-formatting tokens.

In particular:

- Each chat message adds about **4 structural tokens** for role/content/separators.
- The API adds **2 global tokens** to mark the start of assistant generation.
- Extra whitespace, newlines, or uncommon Unicode can also increase the count.

So your visible prompt may be smaller in `tiktoken`, but OpenAI may report a slightly larger total.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How many extra tokens does a `chat.completions.create()` message usually add because of chat formatting?,Each `chat.completions.create()` message usually adds **4 extra structural tokens** because of chat formatting.,"When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What is the purpose of the 2 global tokens OpenAI adds before the assistant starts generating a reply?,The 2 global tokens are added to mark the start of the assistant’s response generation.,"When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Can newlines, spaces, or unusual Unicode characters change the token count in an OpenAI chat request?","Yes. Newlines, spaces, and unusual Unicode characters can change the token count in an OpenAI chat request. The context says extra whitespace or uncommon Unicode may slightly increase the count, and OpenAI also adds internal chat-formatting tokens beyond the visible text.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"If my prompt text is 320 tokens by `tiktoken`, why might OpenAI report something like 327 tokens?","OpenAI may report a higher number because `tiktoken` is only counting your visible text, while the chat API adds internal formatting tokens.

In the course context:

- each chat message adds about **4 structural tokens**,
- the API adds **2 extra tokens** for assistant generation,
- and whitespace / special Unicode can add a bit more.

So a prompt that looks like **320 tokens** in `tiktoken` can show up as something like **327 tokens** in OpenAI’s usage report.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How can I avoid re-exporting my API key in every new terminal session for this project?,"Use `dirdotenv` so the key is loaded automatically when you enter the project directory.

Quick setup:

```bash
uv tool install dirdotenv
```

Add this to your `~/.bashrc` or `~/.zshrc`:

```bash
eval ""$(dirdotenv hook bash)""   # or zsh
```

Then, inside your project:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, you won’t need to re-export it every new terminal session.  
Make sure `.env` and `.envrc` are in `.gitignore` so the key doesn’t get committed.

","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"What tool can automatically load environment variables when I enter a project folder, and how do I set it up?",I don't know.,"Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How do I keep my secret key out of GitHub when storing it for local development?,"Never commit your key to GitHub.

For local development, put it in your shell environment or a `.env` file and make sure that file is not tracked by Git:

```bash
export GEMINI_API_KEY=""your-gemini-api-key-here""
export SECRET_GEMINI_API_KEY=$(echo -n ""$GEMINI_API_KEY"" | base64)
```

Then start/restart Kestra from that same shell session.

If you use a `.env` file, pass it to Docker explicitly:

```bash
docker compose --env-file ./.env -f ./docker-compose.yml up -d
```

Also add `.env` to your `.gitignore` so it won’t be pushed to GitHub.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What should I use for API keys in GitHub Codespaces instead of putting them in files in the repository?,Use the built-in **Codespaces secrets** instead of storing API keys in repository files.,"Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
